,City ID,City Name,Country,Latitude,Longitude,Max Temperature,Humidity,Clouds,Wind Speed,Date
73,964432,Port Alfred,ZA,-33.5906,26.891,68.0,90,46,5.99,1612651633
74,2163355,Hobart,AU,-42.8794,147.3294,64.0,59,75,12.66,1612651637
75,2399870,Lastoursville,GA,-0.8143,12.7287,74.48,88,99,1.97,1612651385
76,1649150,Bengkulu,ID,-3.8004,102.2655,76.64,73,98,3.89,1612651055
77,3515504,Tizimín,MX,21.15,-88.15,84.92,60,4,8.88,1612651393
78,1855540,Naze,JP,28.3667,129.4833,62.6,77,75,3.44,1612651648
79,3894426,Coyhaique,CL,-45.5752,-72.0662,78.8,22,20,8.05,1612651298
80,544084,Koslan,RU,63.4564,48.8989,-17.75,85,100,10.36,1612651654
81,6185377,Yellowknife,CA,62.456,-114.3525,-34.01,61,1,4.61,1612651656
82,4132093,Springdale,US,36.1867,-94.1288,39.2,100,90,2.57,1612651217
83,1957875,Andalan,PH,5.9594,121.3903,78.31,81,100,1.92,1612651661
84,1337610,Thinadhoo,MV,0.5333,72.9333,81.09,76,2,12.48,1612651663
85,6690296,Saint-Joseph,RE,-21.3667,55.6167,78.8,83,40,4.61,1612651666
86,3838859,Río Gallegos,AR,-51.6226,-69.2181,64.4,27,20,16.11,1612651668
87,3899695,Ancud,CL,-41.8697,-73.8203,73.4,46,0,8.05,1612651471
88,5866583,Saint Paul Harbor,US,57.79,-152.4072,37.4,60,20,3.44,1612651439
89,4703078,Kerrville,US,30.0474,-99.1403,71.6,9,1,16.11,1612651675
90,3369157,Cape Town,ZA,-33.9258,18.4232,72.0,83,20,9.22,1612651051
91,5546220,Saint George,US,37.1041,-113.5841,61.0,21,1,5.75,1612651276
92,1788852,Xining,CN,36.6167,101.7667,19.76,67,100,2.33,1612651682
93,3347019,Mossamedes,AO,-15.1961,12.1522,71.15,78,21,7.83,1612651684
94,3385077,Conde,BR,-7.2597,-34.9075,80.6,78,20,5.75,1612651687
95,6170031,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,83,90,24.16,1612651689
96,6089245,Norman Wells,CA,65.282,-126.8329,-29.2,75,75,4.61,1612651691
97,577922,Belomorsk,RU,64.5232,34.7668,16.75,97,100,5.35,1612651694
98,3985710,Cabo San Lucas,MX,22.8909,-109.9124,78.8,60,1,11.5,1612651169
99,6451497,Hyères,FR,43.1167,6.1167,57.2,82,0,6.91,1612651698
100,2986732,Ploemeur,FR,47.7333,-3.4333,39.0,87,0,5.75,1612651693
101,207596,Mweka,CD,-4.85,21.5667,68.65,92,59,1.43,1612651703
102,1024552,Xai-Xai,MZ,-25.0519,33.6442,76.1,82,98,4.45,1612651705
103,2742416,Barcelos,PT,41.5388,-8.6151,45.0,76,0,4.61,1612651708
104,2525392,Capaci,IT,38.1711,13.2393,73.4,17,0,21.85,1612651710
105,5924351,Clyde River,CA,70.4692,-68.5914,-13.0,84,1,2.3,1612651167
